node,node2,regime
C23,,background
C17,,background
C12,,background
C10,,chosen
C3,,chosen
C14,,chosen
C5,,background
C9,,background
C24,,background
C6,,background
C21,,background
C19,,background
C1,,background
C22,,background
C4,,background
C13,,background
C18,,background
C15,,background
C11,,background
C16,,background
C8,,background
C20,,background
C7,,background
C23,C17,background
C23,C10,background
C23,C5,background
C17,C12,background
C10,C3,chosen
C3,C14,chosen
C5,C9,background
C9,C24,background
C9,C1,background
C24,C6,background
C6,C21,background
C21,C19,background
C1,C22,background
C1,C13,background
C22,C4,background
C13,C18,background
C18,C15,background
C18,C11,background
C11,C16,background
C16,C8,background
C8,C20,background
C20,C7,background
